,company,title,salary,location,date
0,BEACONFIRE STAFFING SOLUTIONS INC,DATA SCIENTIST,"76,920","SAN JOSE, CA",05/06/2021
1,BEACONFIRE STAFFING SOLUTIONS INC,DATA SCIENTIST,"91,340","SAN JOSE, CA",05/06/2021
2,VALIANTICA INC,DATA SCIENTIST,"101,740","SAN JOSE, CA",03/20/2019
3,ZOLON TECH SOLUTIONS INC,DATA SCIENTIST,"111,580","SAN JOSE, CA",04/22/2022
4,BRANCH MESSENGER INC,DATA SCIENTIST,"117,500","SAN JOSE, CA",03/06/2018
5,CHOBANIAN GROUP LLC,DATA SCIENTIST,"136,140","SAN JOSE, CA",04/16/2020
6,VIRTUAL ENTERPRISE SYSTEM SOLUTIONS INC,DATA SCIENTIST,"51,355","SAN JOSE, CA",03/19/2019
7,PEOPLEAXIS INC,DATA SCIENTIST,"66,518","SAN JOSE, CA",03/16/2017
8,TIVO INC,DATA SCIENTIST,"72,000","SAN JOSE, CA",02/11/2015
9,INTERNATIONAL BUSINESS MACHINES CORPORATION,DATA SCIENTIST,"72,280","SAN JOSE, CA",10/11/2019
10,"
 
",null,null,null,null
11,INTERNATIONAL BUSINESS MACHINES CORPORATION,DATA SCIENTIST,"72,280","SAN JOSE, CA",10/21/2019
12,INTERNATIONAL BUSINESS MACHINES CORPORATION,DATA SCIENTIST,"72,280","SAN JOSE, CA",11/04/2019
13,GOSVEA INC,DATA SCIENTIST,"72,758","SAN JOSE, CA",03/14/2017
14,INFORMATION RESOURCES INC,DATA SCIENTIST,"75,421","SAN JOSE, CA",04/12/2022
15,FINXERA INC,DATA SCIENTIST,"80,000","SAN JOSE, CA",02/14/2019
16,BKFS I SERVICES LLC,DATA SCIENTIST,"80,000","SAN JOSE, CA",03/08/2021
17,MODIS E&T LLC,DATA SCIENTIST,"82,909","SAN JOSE, CA",03/22/2018
18,MODIS E&T LLC,DATA SCIENTIST,"82,909","SAN JOSE, CA",03/22/2018
19,MODIS E&T LLC,DATA SCIENTIST,"82,909","SAN JOSE, CA",03/22/2018
20,VIASAT INC,DATA SCIENTIST,"83,225","SAN JOSE, CA",01/21/2020
21,FOXCONN ASSEMBLY LLC,DATA SCIENTIST,"85,000","SAN JOSE, CA",04/08/2022
22,PAYPAL INC,DATA SCIENTIST,"85,000","SAN JOSE, CA",05/11/2021
23,WRIKE INC,DATA SCIENTIST,"87,000","SAN JOSE, CA",02/16/2018
