,company,title,salary,location,date
0,JACKPOCKET INC,DATA SCIENTIST,"67,000","NEW YORK, NY",02/13/2019
1,NUMERO DATA LLC,DATA SCIENTIST,"67,140","NEW YORK, NY",09/20/2021
2,NUMERO DATA LLC,DATA SCIENTIST,"67,140","NEW YORK, NY",09/21/2021
3,MEMORIAL SLOAN-KETTERING CANCER CENTER,DATA SCIENTIST,"74,880","NEW YORK, NY",04/06/2018
4,MEMORIAL SLOAN-KETTERING CANCER CENTER,DATA SCIENTIST,"74,880","NEW YORK, NY",04/06/2018
5,MEMORIAL SLOAN-KETTERING CANCER CENTER,DATA SCIENTIST,"74,880","NEW YORK, NY",04/06/2018
6,JACKPOCKET INC,DATA SCIENTIST,"77,860","NEW YORK, NY",02/13/2019
7,ANAGH TECHNOLOGIES INC,DATA SCIENTIST,"82,000","NEW YORK, NY",03/26/2019
8,JACKPOCKET INC,DATA SCIENTIST,"84,100","NEW YORK, NY",02/13/2019
9,I BRAIN SOLUTIONS LLC,DATA SCIENTIST,"84,400","NEW YORK, NY",04/13/2021
10,"
 
",null,null,null,null
11,IP HEIGHTS LLC,DATA SCIENTIST,"85,680","NEW YORK, NY",08/30/2021
12,IP HEIGHTS LLC,DATA SCIENTIST,"85,680","NEW YORK, NY",08/30/2021
13,ELLE MEDIA LLC,DATA SCIENTIST,"88,480","NEW YORK, NY",07/14/2021
14,ZELUS ANALYTICS INC,DATA SCIENTIST,"90,000","NEW YORK, NY",08/18/2021
15,ZELUS ANALYTICS INC,DATA SCIENTIST,"90,000","NEW YORK, NY",08/31/2021
16,RESEARCH FOUNDATION OF CUNY,DATA SCIENTIST,"90,000","NEW YORK, NY",03/16/2021
17,MOYI INC,DATA SCIENTIST,"93,860","NEW YORK, NY",01/14/2022
18,POPULUS GROUP LLC,DATA SCIENTIST,"98,080","NEW YORK, NY",03/04/2020
19,AETNA RESOURCES LLC,DATA SCIENTIST,"103,200","NEW YORK, NY",08/27/2021
20,POPULUS GROUP LLC,DATA SCIENTIST,"108,080","NEW YORK, NY",02/15/2021
21,POPULUS GROUP LLC,DATA SCIENTIST,"120,000","NEW YORK, NY",03/02/2016
22,FIREBALL INFORMATION TECHNOLOGIES LLC,DATA SCIENTIST,"120,000","NEW YORK, NY",09/08/2021
23,FIREBALL INFORMATION TECHNOLOGIES LLC,DATA SCIENTIST,"120,000","NEW YORK, NY",09/16/2021
24,SUPSTAT INC,DATA SCIENTIST,"140,000","NEW YORK, NY",02/17/2020
25,SUPSTAT INC,DATA SCIENTIST,"140,000","NEW YORK, NY",02/21/2020
26,DUODUO MEDIA TECHNOLOGY,DATA SCIENTIST,"152,000","NEW YORK, NY",03/30/2016
27,DUODUO MEDIA TECHNOLOGY INC,DATA SCIENTIST,"152,000","NEW YORK, NY",03/30/2016
28,BIZ2CREDIT,DATA SCIENTIST,"50,000","NEW YORK, NY",03/07/2017
29,LIPPE TAYLOR,DATA SCIENTIST,"54,850","NEW YORK, NY",04/29/2020
30,INSTICATOR INC,DATA SCIENTIST,"55,744","NEW YORK, NY",03/14/2017
31,LOADSMART INC,DATA SCIENTIST,"58,000","NEW YORK, NY",02/28/2017
32,LOADSMART INC,DATA SCIENTIST,"58,000","NEW YORK, NY",02/28/2017
33,HITCHWOOD CAPITAL MANAGEMENT LP,DATA SCIENTIST,"59,238","NEW YORK, NY",11/15/2017
34,CUBIST SYSTEMATIC STRATEGIES LLC,DATA SCIENTIST,"63,107","NEW YORK, NY",02/18/2015
35,POINT72 ASSET MANAGEMENT LP,DATA SCIENTIST,"63,107","NEW YORK, NY",02/18/2015
36,POINT72 ASSET MANAGEMENT LP,DATA SCIENTIST,"63,107","NEW YORK, NY",02/18/2015
37,VALILLY INC,DATA SCIENTIST,"65,000","NEW YORK, NY",09/25/2019
38,BARCLAYS BANK PLC,DATA SCIENTIST,"65,000","NEW YORK, NY",03/14/2018
39,THE VIRTUE FOUNDATION,DATA SCIENTIST,"65,499","NEW YORK, NY",09/10/2019
40,"




",null,null,null,null
41,GUY CARPENTER & COMPANY LLC,DATA SCIENTIST,"65,500","NEW YORK, NY",03/10/2020
42,MAZARS USA LLP,DATA SCIENTIST,"67,766","NEW YORK, NY",02/25/2021
43,RAPP WORLDWIDE INC,DATA SCIENTIST,"68,000","NEW YORK, NY",05/11/2021
44,T3I GROUP LLC,DATA SCIENTIST,"69,000","NEW YORK, NY",02/27/2020
45,LOCUS ANALYTICS LLC,DATA SCIENTIST,"69,680","NEW YORK, NY",03/19/2019
46,SIMULMEDIA INC,DATA SCIENTIST,"69,680","NEW YORK, NY",03/01/2019
47,SHIPTRACKS LLC,DATA SCIENTIST,"69,826","NEW YORK, NY",05/02/2022
48,TARGETCAST LLC,DATA SCIENTIST,"70,000","NEW YORK, NY",03/14/2019
49,BIZ2CREDIT INC,DATA SCIENTIST,"70,000","NEW YORK, NY",03/15/2019
50,FIRST DERIVATIVES US INC,DATA SCIENTIST,"70,000","NEW YORK, NY",04/17/2018
51,MASHWORK INC,DATA SCIENTIST,"70,000","NEW YORK, NY",03/09/2018
52,CKM ADVISORS LLC,DATA SCIENTIST,"70,000","NEW YORK, NY",03/15/2018
53,GAMELOFT INC,DATA SCIENTIST,"70,000","NEW YORK, NY",02/13/2015
54,FLO LLC,DATA SCIENTIST,"70,000","NEW YORK, NY",03/16/2016
55,PRICELINECOM LLC,DATA SCIENTIST,"70,845","NEW YORK, NY",03/06/2017
56,ICE DATA PRICING & REFERENCE DATA LLC,DATA SCIENTIST,"71,000","NEW YORK, NY",03/11/2019
57,MASHWORK INC,DATA SCIENTIST,"71,000","NEW YORK, NY",03/10/2017
58,ICE DATA PRICING & REFERENCE DATA LLC,DATA SCIENTIST,"71,000","NEW YORK, NY",03/22/2019
59,ICE DATA PRICING & REFERENCE DATA LLC,DATA SCIENTIST,"73,500","NEW YORK, NY",03/10/2020
